"id","acronym","status","title","startDate","endDate","totalCost","ecMaxContribution","legalBasis","topics","ecSignatureDate","frameworkProgramme","masterCall","subCall","fundingScheme","nature","objective","contentUpdateDate","rcn","grantDoi"
"664726","EI3POD","CLOSED","EMBL Interdisciplinary, International and Intersectorial Postdocs","2015-12-01","2020-11-30","12744000","6372000","H2020-EU.1.3.","MSCA-COFUND-2014-FP","2015-05-13","H2020","H2020-MSCA-COFUND-2014","H2020-MSCA-COFUND-2014","MSCA-COFUND-FP","","The EIPOD programme was developed in 2007 with the objective of making use of the excellent scientific environment available at EMBL to support an innovative fellowship programme focused on interdisciplinary research training for postdoctoral fellows. EI3POD is designed to enrich and significantly build upon the very successful EIPOD programme and bears a significant number of novel features for scientific collaboration as well as vocational skills training and career development. The I3 in EI3POD stands for:1.    Interdisciplinary2.    International/inter-institutional3.    IntersectorialIt offers three different modules each focusing on one of the three “I’s” as an expansion and significant enrichment of the original EIPOD scheme. All postdoctoral candidates applying under the EI3POD scheme will be offered the choice from among these three specializations. The specialization process will be supported by a career development advisor and accompanied by a set of training requirements to prepare candidates for making informed decisions about their project direction and career goals.","2022-08-18 13:54:00","196949","10.3030/664726"
"783228","GAINS","CLOSED","General Aviation Improved Navigation and Surveillance","2018-01-01","2019-12-31","1694762,5","1453690","H2020-EU.3.4.","SESAR-VLD1-09-2016","2017-12-21","H2020","H2020-SESAR-2016-2","H2020-SESAR-2016-2","SESAR-IA","","The objective is to validate concepts on avionics and use of instrument flight procedures tailored to General Aviation that enable integration and inclusion of GA within high density airspace or environments in which GA is constrained due to proximity of adjacent airports or airways for scheduled airlines or the military. The project builds on the concept demonstrated to the EVA project considering the suitability of ground monitoring from aerodromes with basic ATS or ground services and testing the viability for the use of PBN procedures more tailoured to the capabilities of GA and the limitations of operations in dense airspace.","2022-08-17 11:06:00","213197","10.3030/783228"
"783161","AUDIO","TERMINATED","Airspace User supporting Demonstrations of Integrated Airport Operations","2019-05-01","2021-10-31","1064625","818050","H2020-EU.3.4.","SESAR-VLD1-02-2016","2019-04-25","H2020","H2020-SESAR-2016-2","H2020-SESAR-2016-2","SESAR-IA","","The project AUDIO will coordinate the Airspace User (AU) involvement in the demonstration of innovative airport operations functionalities designed to improve airport operations. It is designed to secure the involvement of additional end-users to perform operational demonstrations to confirm the benefits and increase awareness ofpromising solutions targeting specific operational scenarios and environments.AUDIO is addressing the topic Integrated Airport Operations (SESAR-VLD1-02-2016) which is related to the Very Large Demonstration PJ28 IA (Integrated Airport Operations as part of SESAR2020). In particular AUDIO demonstrates the use of functionalities designed to improve airport operations from an airspace user perspective.For the On-board taxi functions, on-board surface guidance will be demonstrated on board of aircraft during day to day operations of airlines. Demonstrations will be conducted in a real live environment.A dedicated dissemination WP is designed to cover the important need of the distribution of results. Coordinated with the dissemination activities of PJ28 a harmonized approach will be taken to make sure the results of the demonstration activities are well communicated within the SESAR as well as the whole ATM community.","2022-08-25 16:56:00","222513","10.3030/783161"
"744213","INNMADRIMASD 3","CLOSED","Innovation services for enhancing SME innovation management capacities in Madrid Region","2017-01-01","2018-12-31","215795","215795","H2020-EU.2.3.","H2020-SGA2-EEN","2017-02-09","H2020","H2020-EEN-SGA2-2017-2018","H2020-EEN-SGA2-2017-2018","CSA","","“IInnovation services for enhancing SME innovation management capacities in Madrid Region- INNMADRIMASD 3” is a proposal addressing the topic ‘Enhancing SME innovation capacity by providing better innovation support “under Horizon 2020. INNMADRIMASD 3 will provide innovation services to SMEs in Madrid through the Enterprise Europe Network as a suitable structure to provide in depth support services to SMEs in the area of innovation management. Furthermore, beneficiaries of the SME Instrument under Horizon 2020 will be entitled to receive specific targeted support from the Enterprise Europe Network to support coaching assignments addressing specific innovation weaknesses for Madrid based SMEs.","2022-08-15 23:48:00","208198","10.3030/744213"
"674846","INNMADRIMASD 2","CLOSED","Innovation services for enhancement innovation SMEs capacities in Madrid region","2015-01-01","2016-12-31","230950","230950","H2020-EU.2.3.","INNOVATION","2015-07-14","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","“Innovation services for SMEs innovation capacities enhancement in Madrid Region- INNMADRIMASD 2” is a proposal addressing the topic ‘Enhancing SME innovation capacity by providing better innovation support “under Horizon 2020. INNMADRIMASD 2 will provide innovation services to SMEs in Madrid through the Enterprise Europe Network as a suitable structure to provide in depth support services to SMEs in the area of innovation management. Furthermore, beneficiaries of the SME Instrument under Horizon 2020 will be entitled to receive specific targeted support from the Enterprise Europe Network to support coaching assignments addressing specific innovation weaknesses for Madrid based SMEs.","2022-08-11 12:52:00","198103","10.3030/674846"
"715371","PHYSBIOHSC","SIGNED","Understanding the physical biology of adult blood stem cells","2017-05-01","2022-10-31","1500000","1500000","H2020-EU.1.1.","ERC-2016-STG","2017-03-09","H2020","ERC-2016-STG","ERC-2016-STG","ERC-STG","","The discovery of functional heterogeneity in normal and malignant stem cells has shifted our understanding of how single cells are subverted to drive cancer.  To design therapies for diseases of stem cell origin and to better provide cell populations for clinical applications, it is critical to understand this diversity at the single cell level.  This proposal focuses on understanding the complex biology of normal and malignant stem cells and the impact of individual mutations on clonal evolution by studying the physical and quantitative aspects of single blood stem cells.  This proposal aims to study single blood stem cell biomechanics and clonal evolution by leveraging new inter-disciplinary technologies and approaches and applying them to functionally defined mouse and human blood stem cell populations.  It will combine in vitro and in vivo biological assays with mathematical modelling and microfluidic technology in an iterative manner across both human and mouse stem cell populations.","2022-08-17 10:26:00","208791","10.3030/715371"
"648509","LaDIST","CLOSED","Large Discrete Structures","2015-12-01","2021-12-31","1386859","1386859","H2020-EU.1.1.","ERC-CoG-2014","2015-03-11","H2020","ERC-2014-CoG","ERC-2014-CoG","ERC-COG","","The proposed project seeks to introduce novel methods to analyze and approximate large graphs and other discrete structures and to apply the developed methods to solve specific open problems. A need for such methods comes from computer science where the sizes of input structures are often enormous. Specifically, the project will advance the recently emerged theory of combinatorial limits by developing new insights in the structure of limit objects and by proposing a robust theory bridging the sparse and dense cases. The analytic methods from the theory of combinatorial limits will be used to analyze possible asymptotic behavior of large graphs and they will be applied in conjunction with structural arguments to provide solutions to specific problems in extremal combinatorics. The obtained insights will also be combined with methods from discrete optimization and logic to provide new algorithmic frameworks.","2022-07-25 21:54:00","194538","10.3030/648509"
"840243","MetTraC","CLOSED","Biocatalytic Methyltransferase Cascades","2019-03-01","2020-08-31","149760","149760","H2020-EU.1.1.","ERC-2018-PoC","2019-02-04","H2020","ERC-2018-PoC","ERC-2018-PoC","ERC-POC","","The goal of this project is to develop a general system for preparative enzyme-catalyzed methylation reactions. Selective methylation of complex molecules can be challenging for synthetic chemistry. Given the exquisite chemo-, regio- and stereoselectivities of enzyme catalysis we believe that biocatalysis presents a powerful alternative for commercial production of pharmaceuticals and fine chemicals. In this project we demonstrate the applicability and commercial viability of a novel enzyme-based technology to preparative methylation reactions.","2022-08-17 23:30:00","221001","10.3030/840243"
"664078","TrustNode","CLOSED","A Disruptive Router Platform for the Internet of Things – TrustNode","2015-02-01","2015-07-31","71429","50000","H2020-EU.2.1.1.","ICT-37-2014-1","2015-01-27","H2020","H2020-SMEInst-2014-2015","H2020-SMEINST-1-2014","SME-1","","The TrustNode project aims at prototyping, validation and demonstration of a disruptive routing platform in real worldconditions. It will enable the design of novel routing paradigms asking for local intelligence to evaluate packet streams to serve upcoming B2B applications for the Internet of Things. Routing functionality is expected to migrate from core towards network edge in the next years.Outcome of the project will be (1) assessment of market share and manufacturing costs (2) business plan and (3) figures achieved by a prototype against SoA.","2022-08-08 11:07:00","196304","10.3030/664078"
"672614","SmartX","CLOSED","SmartX is an innovative ICT platform for electricity demand-supply management","2015-05-01","2015-09-30","71429","50000","H2020-EU.2.1.1.","ICT-37-2014-1","2015-04-17","H2020","H2020-SMEInst-2014-2015","H2020-SMEINST-1-2014","SME-1","","SmartX - an innovative ICT platform for electricity demand-supply management allows energy suppliers to optimize their operating costs on one hand and reduce electricity bills for their customers on the other. SmartX consists of a central control unit that makes energy supplier able to control energy consumption and generation at the level of single houselhold. For example energy vendor may be interested to limit some non-critical energy-consuming assets at the peak time (like air conditioning when nobody is at home) or maximize home-based PV installation capacity of its customer at the peak time. Thanks to that, the vendor is able to buy less energy in the wholesale market at the peak times. Yielding control over some consuming/producing assets brings value to vendors final customers - they will be able to pay less for the energy (less consumption in peak times) and/or get better price for the green energy they produce at home and they will not need to pay any attention in order to achieve that. Moreover vendors will probably offer better tariffs to the customers connected to SmartX as the cost of supply-demand risk management for such  group of customers will be much cheaper.","2022-08-11 09:53:00","196457","10.3030/672614"
"966687","IMMUNOSTIM","SIGNED","Novel small molecule activators of the NLRP3 inflammasome as immunostimulants","2021-09-01","2023-02-28","0","150000","H2020-EU.1.1.","ERC-2020-POC","2021-08-26","H2020","ERC-2020-PoC","ERC-2020-PoC","ERC-POC-LS","","We have identified a novel family of potent small molecule activators of the NLRP3 inflammasome. The goal of this project is to determine the feasibility of developing these new immunostimulators into an attractive commercial proposition. Establishment of technical feasibility will involve identification the most promising modifications of our drug candidates and testing their efficacy in disease models of cancer and immunization. In addition, we will determine commercial feasibility by conducting market research and competition analysis and by engaging potential industry partners.","2022-08-25 21:52:00","236973","10.3030/966687"
"643328","SSBI-CRO-KAM","CLOSED","Establishing services enhancing the innovation management capacity of Croatian SMEs through the Enterprise Europe Network","2014-05-01","2014-12-31","22542,5","18034","H2020-EU.2.3.","INNOSUP","2014-11-17","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","Establishing services enhancing the innovation management capacity of SMEs in the Enterprise Europe Network Croatia","2022-08-16 22:08:00","194027","10.3030/643328"
"831220","H-BISS Slovakia 2019","CLOSED","Establishing services enhancing the innovation management capacity of the Slovak SMEs in the Enterprise Europe Network in 2019","2019-01-01","2019-12-31","72715","72715","H2020-EU.2.3.","H2020EENSGA3","2019-01-31","H2020","H2020-EEN-SGA3-2018","H2020-EEN-SGA3-2018","CSA","","Main objective of the action is improving the innovation management capacity of two SME target groups: (1) Beneficiaries of the SME Instrument by provision of the specialised Key Account Management services, and (2) SMEs with significant innovation activities and a high potential for internationalisation through the targeted Enhancing the innovation management services.","2022-08-25 16:40:00","220968","10.3030/831220"
"831230","WEST-MAR H2020.2019","CLOSED","WESTinnoMAR 2019","2019-01-01","2019-12-31","18625","18625","H2020-EU.2.3.","H2020EENSGA3","2019-01-25","H2020","H2020-EEN-SGA3-2018","H2020-EEN-SGA3-2018","CSA","","The proposed project addresses the action for “Establishing services “Enhancing the innovation management capacity of SMEs” in the Enterprise Europe Network” to improve the innovation management capacity of SMEs. The activities foreseen under this proposal is to give Activity 4 of EEN services to SMEs. 10 full enhancing SMEs’ innovation management capacity service packages will be offered to SME’s till the end of 2019 and every service package is foreseen as 7 days in the proposal. Additionally, 14 day KAM serviceswill be offered for successful beneficiaries of SME instrument Phase 1.","2022-08-25 16:32:00","220687","10.3030/831230"
"879406","ERBSN 4 H2020","SIGNED","Eastern Romanian Business Support Network support for innovative SMEs","2020-01-01","2021-12-31","143125","143125","H2020-EU.2.3.","H2020-EEN-SGA4","2019-12-02","H2020","H2020-EEN-SGA4-2020-2021","H2020-EEN-SGA4-2020-2021","CSA","","ERBSN 4 H2020 services in Romania RO2 region will ensure the delivery of “Key Account Management” (KAM) supportservices for the beneficiaries of EIC Pilot,  as well as services  to enhance innovation management capacities of SMEs.","2022-08-28 23:36:00","226323","10.3030/879406"
"739564","INMANCAP 2017_18","CLOSED","Enhancing innovation management capacity of SMEs in the Netherlands 2017-2018","2017-01-01","2018-12-31","909905","909905","H2020-EU.2.3.","H2020-SGA2-EEN","2017-01-31","H2020","H2020-EEN-SGA2-2017-2018","H2020-EEN-SGA2-2017-2018","CSA","","The overall objectives of the project are to deliver services designed to enhance the innovation management capacityof SMEs in the Netherlands between 1 January 2017 and 31 December 2017.These services will comprise both Key Account Management services under the SME Instrument of Horizon 2020 andservices to Enhance the iInovation Management Capacity of SMEs.The sub objectives for the first category are: to develop regional SME innovation management capacity by carryingout an innovation management gap analysis and developing and implementing a coaching action plan for a specificproject under the H2020 SME Instrument.The sub objectives for the second category are: to identify promising SMEs capable of growth and successfulinternationalisation, to carry out a diagnostic audit to identify gaps in the regional SME innovation managementcapacity and to develop and implement a tailored action plan to make the innovation system in the company moreefficient and effective.","2022-08-23 22:28:00","208215","10.3030/739564"
"643383","KAMINLER","CLOSED","KAMINLER – KAM and Innovation services for SMEs in Lombardia and Emilia Romagna","2014-06-01","2014-12-31","130612,5","104490","H2020-EU.2.3.","INNOSUP","2014-11-28","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","The objective of the proposal is to provide a new Enterprise Europe Network service to enhance the innovation management capacity of SMEs in Lombardy and in Emilia-Romagna.EEN partners in the two regions will deliver  Key Account Mangement services to the beneficiaries of the SME Instrument of Horizon 2020 and will support particularly promising SMEs to improve their capacity to manage innovation processes.Therefore the new service will be provided to two target groups of companies:- Beneficiaries of the SME Instrument- SMEs with significant innovation activities and a high potential for internationalisationThe new service will be incorporated into basic EEN services starting from 01/01/2015 and possibly further extended with the support of other partners of the future consortium.","2022-08-15 22:56:00","194058","10.3030/643383"
"674870","WESTinnoMAR","CLOSED","WESTinnoMAR","2015-09-01","2017-08-31","13860","13860","H2020-EU.2.3.","INNOVATION","2015-08-26","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","The proposed project addresses the action for “Establishing services “Enhancing the innovation management capacity of SMEs” in the Enterprise Europe Network” to improve the innovation management capacity of SMEs. The activities foreseen under this proposal is to give Activity 4 of EEN services to SMEs. 10 full enhancing SMEs’ innovation management capacity service packages will be offered to SME’s till the end of 2016 and every service package is foreseen as 7 days in the proposal. Additionally, 14 day KAM serviceswill be offered for successful beneficiaries of SME instrument Phase 1.","2022-08-08 16:24:00","198754","10.3030/674870"
"831272","EEN Scotland EIMC","CLOSED","EEN Scotland EIMC","2019-01-01","2019-12-31","107270","107270","H2020-EU.2.3.","H2020EENSGA3","2018-11-23","H2020","H2020-EEN-SGA3-2018","H2020-EEN-SGA3-2018","CSA","","The project’s underlying objective is to encourage smart inclusive and sustainable growth in the EU by increasing effective investment in innovation linked to profitable exploitation in international markets.The project’s specific objective is to ensure that Scottish SMEs with international innovation and growth ambitions are empowered by unlocking their full growth potential through better internal innovation management capability and tailored mentoring and coaching. The aim is to support SME’s international competitiveness through the exploitation of new or enhanced products, process or service through improved innovation efficiency.","2022-08-17 12:36:00","221176","10.3030/831272"
"643312","UKMidsINNOV","CLOSED","UKMidsINNOV","2014-07-01","2014-12-31","49358,75","39487","H2020-EU.2.3.","INNOSUP","2014-12-05","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","UKMidsINNOV will establish new services in the English Midlands region to enhance the innovation management capacity of SMEs. The project will provide high-quality specialised consulting services to improve innovation management capacity in SMEs and provide beneficiaries of the SME instrument with access to coaching services.","2022-08-08 08:53:00","194017","10.3030/643312"
"674862","INMANCAP2","CLOSED","Enhancing innovation management capacity of SMEs in the Netherlands 2015-2016","2015-01-01","2016-12-31","804485","804485","H2020-EU.2.3.","INNOVATION","2015-07-03","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","The overall objectives of the project are to deliver services designed to enhance the innovation management capacity ofSMEs in the Netherlands between 1 january 2015 and 31 December 2016.These services will comprise both key account management services under the SME Instrument of Horizon 2020 andservices to enhance the innovation management capacities of SMEs.The sub objectives for the first category  are: to develop regional SME innovation management capacity by carrying out an innovation management gap analysis and developing and implementing a coaching action plan for a specific project under the H2020 SME Instrument.The sub objectives for the second category are: to identify promising SMEs capable of growth and successful internationalisation, to carry out a diagnostic audit to identify gaps in the regional SME innovation management capacity and to develop and implement a tailored action plan to make the innovation system in the company more efficient and effective.","2022-08-11 10:23:00","197985","10.3030/674862"
"739619","INNOV-EM","CLOSED","INNOVATION MANAGEMENT SERVICE SUPPORT OF EAST MARMARA NETWORK","2017-01-01","2018-12-31","47250","47250","H2020-EU.2.3.","H2020-SGA2-EEN","2017-02-14","H2020","H2020-EEN-SGA2-2017-2018","H2020-EEN-SGA2-2017-2018","CSA","","The project addresses the two activities in the context of innovation support (H2020) in the services Enterprise Europe Network;  “To enhance the innovation management capacity of SMEs” and “Key Account Management under SME Instrument of H2020”. The overall objective of Project is improving the innovation management capacity of promising SMEs in the region of East Marmara in Turkey.Two work packages are defined for each two activities. With service of enhancing the innovation management capacity of SMEs, the consortium expect to serve to 28 SMEs with 7 days work packages and to spent 1456 working hours. Service of Key Account Management under SME Instrument of H2020 is projected for at most 2 companies. If these are proceed to complete two phase of process total 112 working hours will be spent.","2022-08-15 23:49:00","208320","10.3030/739619"
"743495","NORIMS","CLOSED","INNOWAY Key Account Manager and Innovation Specialists Services - NORIMS","2017-01-01","2018-12-31","335220","335220","H2020-EU.2.3.","H2020-EEN-GA","2017-04-21","H2020","H2020-EEN-GA-2017-2018","H2020-EEN-GA-2017-2018-1","CSA","","The specific objectives for the NORIMS project is to enhance the innovation management capacity of Norwegian SMEs by reducing barriers to innovation and to ensure that more great ideas will  reach the market. The two distinct types of services, a) Key account management under the SME Instrument in Horizon 2020 and b) Services to enhance the innovation management capacity of SMEs will be offered as an integrated part of the general support services of the Enterprise Europe Network Business Cooperation Centre (BCC) in Norway in the period of 2017-2018. The proposal consists of three work packages:• WP1 Implementation of Key Account Management (KAM) services for the beneficiaries of the SME instrument.• WP2 Implementation of Innovation Management Capacity Building services.","2022-08-16 00:34:00","210063","10.3030/743495"
"643316","PROSME-INN","CLOSED","PROSME  SME- Improving management of innovation processes in SMEs","2014-07-01","2014-12-31","18000","14400","H2020-EU.2.3.","INNOSUP","2014-11-14","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","PROSME-INN has the objective of delivering consultancy services, as Key Account Manager for the  SME Instrument beneficiaries and enhancing innovation management capacity for SMEs in Romania RO3 statistical region.The project involve two Enterprise Europe Network partner from PROSME BISNET consortium which will use various consultancy tools for services delivery.","2022-08-08 14:49:00","194019","10.3030/643316"
