projectID,topic,title
814966,LC-MG-1-1-2018,InCo flagship on reduction of transport impact on air quality
816397,EIC-SMEInst-2018-2020,SME instrument
823073,EIC-SMEInst-2018-2020,SME instrument
680569,FoF-08-2015,"ICT-enabled modelling, simulation, analytics and forecasting technologies"
841903,MSCA-IF-2018,Individual Fellowships
101024362,MSCA-IF-2020,Individual Fellowships
644268,MSCA-RISE-2014,Marie Skłodowska-Curie Research and Innovation Staff Exchange (RISE)
730014,COMPET-4-2016,SRC - Space Robotics Technologies
774971,SMEInst-11-2016-2017,"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
840854,MSCA-IF-2018,Individual Fellowships
101000662,FNR-02-2020,Developing long-term monitoring and evaluation frameworks for the Common Agricultural Policy
840577,MSCA-IF-2018,Individual Fellowships
780086,ICT-28-2017,"Robotics Competition, coordination and support"
874896,SC1-BHC-07-2019,Regenerative medicine: from new insights to new applications
872743,SwafS-15-2018-2019,Exploring and supporting citizen science
855274,EIC-SMEInst-2018-2020,SME instrument
101027633,MSCA-IF-2020,Individual Fellowships
645553,ICT-31-2014,Human-centric Digital Age
874190,EIC-SMEInst-2018-2020,SME instrument
697956,SIE-01-2015-1,Stimulating the innovation potential of SMEs for a low carbon energy system
880965,EIC-SMEInst-2018-2020,SME instrument
876257,EIC-SMEInst-2018-2020,SME instrument
807273,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
101014520,S2R-CFM-IP2-01-2020,"Completion of activities for Adaptable Communication, Moving Block, Fail safe Train Localisation (including satellite), Zero on site Testing, Formal Methods and Cyber Security"
826956,EIC-SMEInst-2018-2020,SME instrument
767287,FOF-09-2017,Novel design and predictive maintenance technologies for increased operating life of production systems
768634,FOF-09-2017,Novel design and predictive maintenance technologies for increased operating life of production systems
786459,MSCA-IF-2017,Individual Fellowships
727830,LCE-07-2016-2017,Developing the next generation technologies of renewable electricity and heating/cooling
674109,IT-1-2014-1,Small business innovation research for Transport
879757,EIC-SMEInst-2018-2020,SME instrument
641515,GALILEO-2-2014,Small and Medium Enterprise (SME) based EGNSS applications
738144,JTI-CS2-2016-CFP03-FRC-02-15,Advanced Health Monitoring System for next generation materials
876326,EIC-SMEInst-2018-2020,SME instrument
800860,FETOPEN-04-2016-2017,FET Innovation Launchpad
816950,EIC-SMEInst-2018-2020,SME instrument
709267,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
777596,S2R-OC-IP3-01-2017,Smart metering and asset management of railway systems
684167,DRS-17-2015-1,Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures
868218,EIC-SMEInst-2018-2020,SME instrument
887647,EIC-SMEInst-2018-2020,SME instrument
836167,EIC-SMEInst-2018-2020,SME instrument
723515,MG-1-4-2016-2017,Breakthrough innovation
723032,EE-07-2016-2017,Behavioural change toward energy efficiency through ICT
101007521,MSCA-RISE-2020,Research and Innovation Staff Exchange
876386,EIC-SMEInst-2018-2020,SME instrument
769129,MG-7-1-2017,Resilience to extreme (natural and man-made) events
101024788,MSCA-IF-2020,Individual Fellowships
807823,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
875799,EIC-SMEInst-2018-2020,SME instrument
885877,EIC-SMEInst-2018-2020,SME instrument
101023072,MSCA-IF-2020,Individual Fellowships
883371,SU-DRS02-2018-2019-2020,Technologies for first responders
867928,EIC-SMEInst-2018-2020,SME instrument
650194,IT-1-2014-1,Small business innovation research for Transport
655726,MSCA-IF-2014-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
885803,EIC-SMEInst-2018-2020,SME instrument
795635,MSCA-IF-2017,Individual Fellowships
101004234,LC-SPACE-EGNSS-1-2019-2020,"EGNSS applications fostering green, safe and smart mobility"
816435,EIC-SMEInst-2018-2020,SME instrument
960129,EIC-SMEInst-2018-2020,SME instrument
731695,SMEInst-09-2016-2017,Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
761589,SMEInst-07-2016-2017,"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
776825,SC5-18-2017,Novel in-situ observation systems
696961,IT-1-2015-1,Small business innovation research for Transport
779411,ICT-25-2016-2017,Advanced robot capabilities research and take-up
637261,EeB-02-2014,Adaptable envelopes integrated in building refurbishment projects
817191,EIC-SMEInst-2018-2020,SME instrument
876376,EIC-SMEInst-2018-2020,SME instrument
739614,INNOSUP-02-2016,European SME innovation Associate - pilot
863220,FETOPEN-01-2018-2019-2020,FET-Open Challenging Current Thinking
755652,JTI-CS2-2016-CFP04-LPA-03-08,Active Cockpit Simulator/Ground Station Facility and Test Environment enhancement
686085,JTI-CS2-2014-CFP01-FRC-02-08,HVDC Network management
820971,SC5-09-2018-2019,New solutions for the sustainable production of raw materials
848986,EIC-SMEInst-2018-2020,SME instrument
816626,EIC-SMEInst-2018-2020,SME instrument
821904,SPACE-12-TEC-2018,SRC – Space robotics technologies
101004085,SU-SPACE-EGNSS-3-2019-2020,EGNSS applications fostering societal resilience and protecting the environment
820835,JTI-CS2-2017-CfP07-LPA-01-39,Skin Friction measurements on a real aircraft and Fiber-optics based pressure measurements for aircraft applications
828172,EIC-SMEInst-2018-2020,SME instrument
674038,NMP-25-2014-1,"Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs"
101036418,LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement"
827794,EIC-SMEInst-2018-2020,SME instrument
776099,GALILEO-3-2017,EGNSS professional applications
954732,EIC-SMEInst-2018-2020,SME instrument
760639,NMBP-06-2017,"Improved material durability in buildings and infrastructures, including offshore"
781276,SMEInst-07-2016-2017,"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
756656,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
824946,ICT-07-2018,Electronic Smart Systems (ESS)
689878,PHC-12-2015-1,Clinical research for the validation of biomarkers and/or diagnostic medical devices
876619,EIC-SMEInst-2018-2020,SME instrument
739727,INNOSUP-02-2016,European SME innovation Associate - pilot
883302,SU-BES02-2018-2019-2020,Technologies to enhance border and external security
762873,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
706221,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
744157,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
887303,EIC-SMEInst-2018-2020,SME instrument
839436,MSCA-IF-2018,Individual Fellowships
785045,EE-22-2016-2017,Project Development Assistance
708527,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
672934,ICT-37-2014-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
877469,EIC-SMEInst-2018-2020,SME instrument
761445,ICT-07-2017,5G PPP Research and Validation of critical technologies and systems
723764,FOF-03-2016,Zero-defect strategies at system level for multi-stage manufacturing in production lines
687561,COMPET-03-2015,Bottom-up space technologies at low TRL
696443,SC5-20-2015-1,Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials
791365,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
775495,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
642153,MSCA-ITN-2014-ETN,Marie Skłodowska-Curie Innovative Training Networks (ITN-ETN)
864905,JTI-CS2-2018-CFP09-AIR-03-06,Calibrating Ultrasonic Sensors for atmospheric corrosion.
101034849,FETOPEN-03-2018-2019-2020,FET Innovation Launchpad
659288,MSCA-IF-2014-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
807724,SMEInst-13-2016-2017,Engaging SMEs in security research and development
820820,IMI2-2017-13-07,Linking digital assessment of mobility to clinical endpoints to support regulatory acceptance and clinical practice
959600,EIC-SMEInst-2018-2020,SME instrument
870236,DT-SPACE-EGNSS-2-2019-2020,EGNSS applications fostering digitisation
645114,ICT-26-2014,Photonics KET
101034989,FETOPEN-03-2018-2019-2020,FET Innovation Launchpad
793559,MSCA-IF-2017,Individual Fellowships
779431,ICT-25-2016-2017,Advanced robot capabilities research and take-up
646470,LCE-07-2014,Distribution grid and retail market
945335,NFRP-2019-2020-09,Fostering innovation in decommissioning of nuclear facilities
643924,ICT-01-2014,Smart Cyber-Physical Systems
880308,EIC-SMEInst-2018-2020,SME instrument
891606,MSCA-IF-2019,Individual Fellowships
848537,EIC-SMEInst-2018-2020,SME instrument
765703,MSCA-ITN-2017,Innovative Training Networks
821410,SC5-12-2018,EU-India water co-operation
886057,JTI-CS2-2019-CFP10-AIR-02-80,Innovative flight data measurements to support the aerodynamic analysis of a compound helicopter demonstrator
820867,EIC-SMEInst-2018-2020,SME instrument
703950,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
855006,EIC-SMEInst-2018-2020,SME instrument
796539,MSCA-IF-2017,Individual Fellowships
873550,EIC-SMEInst-2018-2020,SME instrument
735302,SMEInst-06-2016-2017,"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
697593,DRS-17-2015-1,Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures
650832,SIE-01-2014-1,Stimulating the innovation potential of SMEs for a low carbon energy system
825572,ICT-07-2018,Electronic Smart Systems (ESS)
783790,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
680734,FoF-09-2015,ICT Innovation for Manufacturing SMEs (I4MS)
680754,FoF-10-2015,Manufacturing of custom made parts for personalised products
840165,MSCA-IF-2018,Individual Fellowships
823887,MSCA-RISE-2018,Research and Innovation Staff Exchange
881297,EIC-SMEInst-2018-2020,SME instrument
696129,EE-11-2015,New ICT-based solutions for energy efficiency
785332,JTI-CS2-2017-CFP06-AIR-02-41,Integrated electronics  for actuator data and power management for Morphing Leading Edge activities
776311,COMPET-3-2017,High speed data chain
957755,LC-SC3-EC-3-2020,Consumer engagement and demand response
816565,EIC-SMEInst-2018-2020,SME instrument
645119,ICT-01-2014,Smart Cyber-Physical Systems
739772,INNOSUP-02-2016,European SME innovation Associate - pilot
101025295,MSCA-IF-2020,Individual Fellowships
871324,ICT-05-2019,Application driven Photonics components
644080,ICT-01-2014,Smart Cyber-Physical Systems
672428,DRS-17-2014-1,Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”
718074,IT-1-2015-1,Small business innovation research for Transport
835770,EIC-SMEInst-2018-2020,SME instrument
673138,DRS-17-2014-1,Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”
781271,SMEInst-13-2016-2017,Engaging SMEs in security research and development
645043,ICT-31-2014,Human-centric Digital Age
690008,SC5-11d-2015,New sustainable exploration technologies and geomodels
867433,WF-01-2018,Widening Fellowships
755562,JTI-CS2-2016-CFP04-SYS-03-08,Electromechanical actuation for landing gear
683830,Space-SME-2015-1,SME Instrument
785564,JTI-CS2-2017-CFP06-ENG-01-22,Advanced Instrumented Engine cradle of the Turboprop demonstrator
744753,SMEInst-09-2016-2017,Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
724613,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
687091,JTI-CS2-2014-CFP01-SYS-02-05,Instrumented bearing for oil cooled starter/generator
734875,MSCA-RISE-2016,Research and Innovation Staff Exchange
776335,GALILEO-3-2017,EGNSS professional applications
745204,SMEInst-04-2016-2017,Engaging SMEs in space research and development
729375,SMEInst-02-2016-2017,Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs
831998,JTI-CS2-2018-CfP08-SYS-02-49,Health Monitoring for Electro-Hydraulic Actuator fluid
899293,FETOPEN-01-2018-2019-2020,FET-Open Challenging Current Thinking
877713,EIC-SMEInst-2018-2020,SME instrument
782077,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
888409,EIC-SMEInst-2018-2020,SME instrument
893079,LC-SC3-EE-4-2019-2020,Upgrading smartness of existing buildings through innovations for legacy equipment
660231,MSCA-IF-2014-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
697678,Space-SME-2015-2,SME Instrument
664165,SIE-01-2014-1,Stimulating the innovation potential of SMEs for a low carbon energy system
651823,DRS-17-2014-1,Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”
642356,WATER-1a-2014,First application and market replication
778897,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
739479,SMEInst-07-2016-2017,"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
761808,SMEInst-04-2016-2017,Engaging SMEs in space research and development
708439,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
779776,ICT-25-2016-2017,Advanced robot capabilities research and take-up
873351,EIC-SMEInst-2018-2020,SME instrument
706924,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
806502,SMEInst-11-2016-2017,"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
678144,FoF-10-2015,Manufacturing of custom made parts for personalised products
712317,DRS-17-2015-1,Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures
718938,PHC-12-2015-1,Clinical research for the validation of biomarkers and/or diagnostic medical devices
692257,H2020-TWINN-2015,Twinning
953760,EIC-SMEInst-2018-2020,SME instrument
953716,EIC-SMEInst-2018-2020,SME instrument
731593,ICT-26-2016,"System abilities, development and pilot installations"
827545,EIC-SMEInst-2018-2020,SME instrument
720661,FTIPilot-1-2015,Fast Track to Innovation Pilot
786566,MSCA-IF-2017,Individual Fellowships
101007867,JTI-CS2-2020-CFP11-SYS-02-64,Human Safe HVDC Interconnection components
792770,MSCA-IF-2017,Individual Fellowships
651956,PHC-12-2014-1,Clinical research for the validation of biomarkers and/or diagnostic medical devices
964531,FETOPEN-01-2018-2019-2020,FET-Open Challenging Current Thinking
856718,ICT-25-2018-2020,Interactive Technologies
101029362,MSCA-IF-2020,Individual Fellowships
687669,ICT-20-2015,Technologies for better human learning and teaching
850370,EIC-SMEInst-2018-2020,SME instrument
893917,SESAR-ER4-11-2019,CNS for ATM
683960,IT-1-2015-1,Small business innovation research for Transport
885615,EIC-SMEInst-2018-2020,SME instrument
797777,MSCA-IF-2017,Individual Fellowships
768260,SMEInst-05-2016-2017,Supporting innovative SMEs in the healthcare biotechnology sector
790316,SMEInst-09-2016-2017,Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
846027,MSCA-IF-2018,Individual Fellowships
672591,ICT-37-2014-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
871163,MSCA-RISE-2019,Research and Innovation Staff Exchange
658035,MSCA-IF-2014-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
738200,JTI-CS2-2016-CFP03-AIR-01-18,Research and development of a compact drilling and fastening unit suitable for a range of standard 2 piece fasteners
706303,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
672922,DRS-17-2014-1,Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”
744926,SMEInst-13-2016-2017,Engaging SMEs in security research and development
720032,SFS-08-2015-1,Resource-efficient eco-innovative food production and processing
957020,LC-SC3-B4E-6-2020,Big data for buildings
867316,EIC-SMEInst-2018-2020,SME instrument
826250,S2R-OC-IP3-01-2018,Measuring and monitoring devices for railway assets
726878,SMEInst-06-2016-2017,"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
738956,SMEInst-13-2016-2017,Engaging SMEs in security research and development
898354,MSCA-IF-2019,Individual Fellowships
101026739,MSCA-IF-2020,Individual Fellowships
673627,DRS-17-2014-1,Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”
821036,SC5-11-2018,Digital solutions for water: linking the physical and digital world for water solutions
815069,LC-MG-1-3-2018,Harnessing and understanding the impacts of changes in urban mobility on policy making by city-led innovation for sustainable urban mobility
710770,DRS-17-2015-1,Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures
893725,MSCA-IF-2019,Individual Fellowships
744854,SMEInst-09-2016-2017,Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
731885,ICT-21-2016,Support technology transfer to the creative industries
740736,SEC-20-BES-2016,Border Security: autonomous systems and control systems
765262,SMEInst-07-2016-2017,"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
828779,FETOPEN-01-2018-2019-2020,FET-Open Challenging Current Thinking
776559,SC5-14-2016-2017,Raw materials Innovation actions
863418,JTI-CS2-2018-CFP09-FRC-01-27,Tilt Rotor Whirl Flutter experimental investigation and assessment
697900,SFS-08-2015-1,Resource-efficient eco-innovative food production and processing
673388,ICT-37-2014-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
741855,MSCA-IF-2016,Individual Fellowships
855540,EIC-SMEInst-2018-2020,SME instrument
740689,SEC-01-DRS-2016,Integrated tools for response planning and scenario building
690323,WATER-1b-2015,Demonstration/pilot activities
952133,ICT-55-2020,Interactive Technologies
760380,FTIPilot-01-2016,Fast Track to Innovation Pilot
817286,EIC-SMEInst-2018-2020,SME instrument
710454,SIE-01-2015-1,Stimulating the innovation potential of SMEs for a low carbon energy system
673782,SIE-01-2014-1,Stimulating the innovation potential of SMEs for a low carbon energy system
828125,EIC-SMEInst-2018-2020,SME instrument
723583,EEB-04-2016,New technologies and strategies for the development of pre-fabricated elements through the reuse and recycling of construction materials and structures
674741,SIE-01-2014,Stimulating the innovation potential of SMEs for a low carbon energy system
763658,RPAS-03,Aircraft systems
830150,EIC-SMEInst-2018-2020,SME instrument
760528,FTIPilot-01-2016,Fast Track to Innovation Pilot
710460,ICT-37-2015-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
801221,FETOPEN-01-2016-2017,FET-Open research and innovation actions
775577,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
641606,GALILEO-1-2014,EGNSS applications
836133,EIC-SMEInst-2018-2020,SME instrument
663018,Space-SME-2014-1,SME Instrument
710995,SIE-01-2015,Stimulating the innovation potential of SMEs for a low carbon energy system
848551,FETOPEN-03-2018-2019-2020,FET Innovation Launchpad
719500,PHC-12-2015,Clinical research for the validation of biomarkers and/or diagnostic medical devices
820951,JTI-CS2-2017-CfP07-AIR-02-56,Advanced Integrated Testing Methods development
101038091,WF-03-2020,Widening Fellowships
807791,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
965486,EIC-FTI-2018-2020,Fast Track to Innovation (FTI)
800926,FETOPEN-01-2016-2017,FET-Open research and innovation actions
101004221,DT-SPACE-01-EO-2018-2020,Copernicus market uptake
645582,ICT-23-2014,Robotics
729864,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
868479,EIC-SMEInst-2018-2020,SME instrument
720964,NMBP-26-2016,Analytical techniques and tools in support of nanomaterial risk assessment
708122,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
768242,SMEInst-13-2016-2017,Engaging SMEs in security research and development
644018,ICT-09-2014,Tools and Methods for Software Development
740362,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
652871,MSCA-IF-2014-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
881182,EIC-SMEInst-2018-2020,SME instrument
956962,MSCA-ITN-2020,Innovative Training Networks
822134,EIC-SMEInst-2018-2020,SME instrument
821020,JTI-CS2-2017-CfP07-AIR-01-30,Finalize and improve the manufacturing of the model of a laminar wing configuration bizjet (LSBJ)
816148,EIC-SMEInst-2018-2020,SME instrument
711315,ICT-37-2015,Open Disruptive Innovation Scheme (implemented through the SME instrument)
808987,SMEInst-07-2016-2017,"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
651574,IT-1-2014-1,Small business innovation research for Transport
686493,JTI-CS2-2014-CFP01-AIR-02-06,Simulation tool development for a composite manufacturing process default prediction integrated into a quality control  system
792175,MSCA-IF-2017,Individual Fellowships
688363,ICT-10-2015,Collective Awareness Platforms for Sustainability and Social Innovation
745109,MSCA-IF-2016,Individual Fellowships
714048,SECURITY,SECURITY
870239,LC-SPACE-EGNSS-1-2019-2020,"EGNSS applications fostering green, safe and smart mobility"
711269,PHC-12-2015,Clinical research for the validation of biomarkers and/or diagnostic medical devices
963576,LC-BAT-8-2020,Next-generation batteries for stationary energy storage
682337,IT-1-2015-1,Small business innovation research for Transport
947373,EIC-SMEInst-2018-2020,SME instrument
703937,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
101004192,DT-SPACE-EGNSS-2-2019-2020,EGNSS applications fostering digitisation
731667,ICT-26-2016,"System abilities, development and pilot installations"
795347,MSCA-IF-2017,Individual Fellowships
954905,EIC-SMEInst-2018-2020,SME instrument
752979,MSCA-IF-2016,Individual Fellowships
964388,FETOPEN-01-2018-2019-2020,FET-Open Challenging Current Thinking
878216,EIC-SMEInst-2018-2020,SME instrument
701154,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
955356,MG-2-10-2020,Enhancing coordination between Member States' actions in the area of infrastructure research with a particular focus on biodiversity and ameliorating environmental impacts and full automated infrastructure upgrade and maintenance
840958,MSCA-IF-2018,Individual Fellowships
821140,JTI-CS2-2017-CfP07-SYS-03-14,Development of Digital Integrated Multifunction Probe for Air Data Sensing [SAT]
101028873,MSCA-IF-2020,Individual Fellowships
816098,EIC-SMEInst-2018-2020,SME instrument
696448,Space-SME-2015-1,SME Instrument
832329,EIC-SMEInst-2018-2020,SME instrument
691497,FTIPilot-1-2015,Fast Track to Innovation Pilot
688122,ICT-19-2015,"Technologies for creative industries, social media and convergence"
739837,INNOSUP-02-2016,European SME innovation Associate - pilot
718580,IT-1-2015-1,Small business innovation research for Transport
868749,EIC-SMEInst-2018-2020,SME instrument
779020,SMEInst-10-2016-2017,Small business innovation research for Transport and Smart Cities Mobility
723616,FOF-02-2016,Machinery and robot systems in dynamic shop floor environments using novel embedded cognitive functions
671937,IT-1-2014-1,Small business innovation research for Transport
651414,DRS-17-2014-1,Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”
752363,MSCA-IF-2016,Individual Fellowships
101004186,LC-SPACE-24-EO-2020,Copernicus evolution: Mission exploitation concept for WATER
832576,SU-DRS02-2018-2019-2020,Technologies for first responders
673330,IT-1-2014-1,Small business innovation research for Transport
869353,SC5-16-2019,Development of commercial activities and services through the use of GEOSS and Copernicus data
797328,MSCA-IF-2017,Individual Fellowships
732493,SMEInst-09-2016-2017,Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
815180,LC-SC3-RES-11-2018,Developing solutions to reduce the cost and increase performance of renewable technologies
876526,EIC-SMEInst-2018-2020,SME instrument
829186,FETOPEN-01-2018-2019-2020,FET-Open Challenging Current Thinking
837172,EIC-SMEInst-2018-2020,SME instrument
101022280,MSCA-IF-2020,Individual Fellowships
775056,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
815841,EIC-SMEInst-2018-2020,SME instrument
876908,EIC-SMEInst-2018-2020,SME instrument
869963,DT-FOF-12-2019,Handling systems for flexible materials (RIA)
798639,MSCA-IF-2017,Individual Fellowships
654462,LCE-15-2015,Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS
673885,PHC-12-2014-1,Clinical research for the validation of biomarkers and/or diagnostic medical devices
101033564,MSCA-IF-2020,Individual Fellowships
683765,IT-1-2015-1,Small business innovation research for Transport
643735,PHC-26-2014,Self management of health and disease: citizen engagement and mHealth
785393,JTI-CS2-2017-CFP06-LPA-01-31,Representative HLFC Leading Edge structure – Torsion and Bending Stiffness Test
657739,MSCA-IF-2014-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
776390,COMPET-2-2017,Competitiveness in Earth observation mission technologies
690608,MG-1.9-2015,International cooperation in aeronautics with Canada
767198,SMEInst-01-2016-2017,Open Disruptive Innovation Scheme
685761,EO-1-2015,Bringing EO applications to the market
669014,WIDESPREAD-2-2014,ERA Chairs
857172,DT-TDS-01-2019,Smart and healthy living at home
713793,MG-8.4b-2015,"Smart governance, network resilience and streamlined delivery of infrastructure innovation"
697140,DRS-17-2015-1,Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures
875971,EIC-SMEInst-2018-2020,SME instrument
